dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
974;1;2022-09-08;557216;546567;352592;20232;364032
974;2;2022-09-08;1832;1840;3177;40;3482
974;3;2022-09-08;489;243;0;0;2
974;4;2022-09-08;17128;169;26;1;147
974;5;2022-09-08;1498;1120;16;0;21
974;6;2022-09-08;669;447;12;5;31
976;1;2022-09-08;161487;134324;42722;506;47202
976;2;2022-09-08;532;597;823;10;968
976;3;2022-09-08;86;45;1;0;1
976;4;2022-09-08;91;1;0;0;1
976;5;2022-09-08;242;144;5;0;5
976;6;2022-09-08;8;4;0;1;0
977;1;2022-09-08;7784;7519;5008;213;5473
977;2;2022-09-08;575;561;308;10;382
977;3;2022-09-08;143;99;2;0;2
977;4;2022-09-08;304;8;0;0;6
977;5;2022-09-08;14;10;0;0;0
977;6;2022-09-08;13;11;0;0;0
978;1;2022-09-08;13476;11829;5927;403;6440
978;2;2022-09-08;860;770;321;8;361
978;3;2022-09-08;208;119;1;0;1
978;4;2022-09-08;89;1;0;0;1
978;5;2022-09-08;53;44;1;0;1
978;6;2022-09-08;21;10;1;5;1
01;0;2022-09-08;489062;469473;326327;45678;365981
02;0;2022-09-08;419921;407033;301683;45653;326934
03;0;2022-09-08;272652;266083;207531;35210;220306
04;0;2022-09-08;119652;114455;82351;13281;89878
05;0;2022-09-08;109683;104613;73880;11432;81885
06;0;2022-09-08;860397;817530;585653;94532;645673
07;0;2022-09-08;250721;241949;173758;27627;191106
08;0;2022-09-08;213831;207687;155933;25718;168057
09;0;2022-09-08;114687;110937;83806;13541;88089
10;0;2022-09-08;238397;231006;172996;26897;185614
11;0;2022-09-08;289771;279464;209918;35960;222653
12;0;2022-09-08;219904;213251;160654;23220;170101
13;0;2022-09-08;1501910;1416045;979443;133282;1088964
14;0;2022-09-08;580696;566857;439579;69152;464271
15;0;2022-09-08;119358;116951;92246;14248;96715
16;0;2022-09-08;286733;280145;219284;41442;229224
17;0;2022-09-08;557455;544219;423988;86026;441435
18;0;2022-09-08;242471;236512;183288;33753;195119
19;0;2022-09-08;194904;190159;148092;25672;154695
21;0;2022-09-08;421197;408022;304978;50103;326704
22;0;2022-09-08;512224;501151;395353;67771;409871
23;0;2022-09-08;92035;90225;71579;12788;74852
24;0;2022-09-08;333504;324518;251207;47922;264709
25;0;2022-09-08;405255;387593;273121;39160;301995
26;0;2022-09-08;396225;380659;269327;42015;295567
27;0;2022-09-08;481532;467386;346698;51340;372897
28;0;2022-09-08;344624;335041;253835;41769;270178
29;0;2022-09-08;778408;764393;614959;118316;630079
2A;0;2022-09-08;113871;110062;81661;8525;84692
2B;0;2022-09-08;122422;117448;86726;9919;91613
30;0;2022-09-08;582275;556632;401455;67355;440008
31;0;2022-09-08;1087155;1046730;760666;104630;818730
32;0;2022-09-08;155578;151553;117668;19905;122821
33;0;2022-09-08;1338236;1295977;975635;160792;1031246
34;0;2022-09-08;924745;885232;646655;104828;695804
35;0;2022-09-08;888756;865139;651026;89117;689065
36;0;2022-09-08;178219;174141;137110;23510;145428
37;0;2022-09-08;501030;487141;373535;69816;397962
38;0;2022-09-08;1006936;966902;680396;104000;755182
39;0;2022-09-08;200354;192764;138119;20597;153127
40;0;2022-09-08;353850;345235;266513;48736;278607
41;0;2022-09-08;271812;264664;205716;38674;218639
42;0;2022-09-08;591554;565040;391253;59429;446208
43;0;2022-09-08;177382;170211;118651;15024;133739
44;0;2022-09-08;1174821;1144776;860930;136350;908362
45;0;2022-09-08;538436;520634;392006;69338;420006
46;0;2022-09-08;136594;133139;103557;18128;107313
47;0;2022-09-08;262742;255047;194128;30447;202156
48;0;2022-09-08;57886;55551;40350;5531;43942
49;0;2022-09-08;664019;646872;485965;78293;518016
50;0;2022-09-08;422231;413443;326089;50635;341181
51;0;2022-09-08;444941;431688;325158;54177;349961
52;0;2022-09-08;135717;131883;99975;15492;108486
53;0;2022-09-08;251523;245688;186502;24103;198792
54;0;2022-09-08;569822;551581;413365;67253;448363
55;0;2022-09-08;145909;141675;107211;17179;116175
56;0;2022-09-08;647269;632460;488874;83670;510556
57;0;2022-09-08;812100;784981;584386;79375;632012
