dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
47;5;2022-09-08;1179;810;25;19;28
47;6;2022-09-08;77;60;2;1;0
48;1;2022-09-08;47119;46000;29132;5288;31311
48;2;2022-09-08;4625;5804;11199;239;12606
48;3;2022-09-08;4775;3643;6;0;2
48;4;2022-09-08;1208;3;1;0;2
48;5;2022-09-08;128;73;0;1;0
48;6;2022-09-08;31;28;12;3;21
49;1;2022-09-08;513441;512263;369334;75741;390841
49;2;2022-09-08;69045;79523;116511;2504;127089
49;3;2022-09-08;64032;51869;70;0;18
49;4;2022-09-08;12785;18;1;0;5
49;5;2022-09-08;4650;3155;42;6;52
49;6;2022-09-08;65;44;7;42;11
50;1;2022-09-08;324931;325308;201727;48127;208895
50;2;2022-09-08;47272;55153;124317;2504;132252
50;3;2022-09-08;37758;30885;20;0;5
50;4;2022-09-08;9216;11;2;0;3
50;5;2022-09-08;2991;2040;22;3;24
50;6;2022-09-08;63;46;1;1;2
51;1;2022-09-08;334451;332107;212869;50807;227444
51;2;2022-09-08;52057;61296;112219;3360;122436
51;3;2022-09-08;45955;36334;30;0;16
51;4;2022-09-08;9678;21;1;0;6
51;5;2022-09-08;2711;1870;37;3;51
51;6;2022-09-08;89;60;2;7;8
52;1;2022-09-08;111630;109663;68264;13545;73116
52;2;2022-09-08;9314;12402;31703;1942;35350
52;3;2022-09-08;11237;9259;5;0;5
52;4;2022-09-08;2796;11;0;0;6
52;5;2022-09-08;723;531;1;4;5
52;6;2022-09-08;17;17;2;1;4
53;1;2022-09-08;193957;194083;140737;23289;149189
53;2;2022-09-08;28334;31910;45699;813;49562
53;3;2022-09-08;22176;18414;33;0;6
53;4;2022-09-08;5252;4;1;0;0
53;5;2022-09-08;1777;1251;29;1;31
53;6;2022-09-08;27;26;3;0;4
54;1;2022-09-08;419647;417333;290850;60666;313201
54;2;2022-09-08;79037;88062;122420;6560;135074
54;3;2022-09-08;55452;43288;56;0;14
54;4;2022-09-08;11691;61;6;0;22
54;5;2022-09-08;3886;2746;21;18;36
54;6;2022-09-08;109;90;12;9;16
55;1;2022-09-08;116411;116071;77830;16263;83514
55;2;2022-09-08;11691;14428;29359;915;32643
55;3;2022-09-08;13483;10455;10;0;1
55;4;2022-09-08;3313;8;0;0;1
55;5;2022-09-08;987;695;8;0;10
55;6;2022-09-08;24;18;4;1;6
56;1;2022-09-08;480785;484253;312768;79072;324437
56;2;2022-09-08;82339;91713;175985;4552;186029
56;3;2022-09-08;65262;53794;67;0;15
56;4;2022-09-08;15104;48;8;0;15
56;5;2022-09-08;3556;2481;29;15;41
56;6;2022-09-08;223;171;17;31;19
57;1;2022-09-08;637227;624942;415309;72686;447020
57;2;2022-09-08;102999;115011;168966;6665;184830
57;3;2022-09-08;55487;41815;35;0;11
57;4;2022-09-08;11932;78;18;0;37
57;5;2022-09-08;4283;3004;48;19;86
57;6;2022-09-08;172;131;10;5;28
58;1;2022-09-08;121733;123303;93997;23661;99432
58;2;2022-09-08;23233;25635;32624;1631;35609
58;3;2022-09-08;14937;12287;32;0;10
58;4;2022-09-08;5010;6;2;0;3
58;5;2022-09-08;646;444;6;1;6
58;6;2022-09-08;22;15;1;0;1
59;1;2022-09-08;1555860;1543178;1061031;199711;1159827
59;2;2022-09-08;211620;241878;358049;6872;405425
59;3;2022-09-08;203329;157360;202;0;64
59;4;2022-09-08;42916;205;52;1;139
59;5;2022-09-08;13885;9258;117;21;174
59;6;2022-09-08;353;270;17;39;39
60;1;2022-09-08;507560;490331;304441;58043;330778
60;2;2022-09-08;75560;85685;131735;3010;149235
60;3;2022-09-08;42360;34345;42;0;17
60;4;2022-09-08;9980;31;8;0;17
60;5;2022-09-08;2411;1674;30;7;38
60;6;2022-09-08;153;114;13;12;23
61;1;2022-09-08;181956;180735;110979;24595;117294
61;2;2022-09-08;21985;25771;58941;1592;63960
61;3;2022-09-08;17120;13788;12;0;6
61;4;2022-09-08;4716;15;1;0;2
61;5;2022-09-08;1212;875;15;1;15
61;6;2022-09-08;32;24;6;5;6
62;1;2022-09-08;897232;896388;653648;121894;705774
62;2;2022-09-08;140483;158858;216209;3966;243288
62;3;2022-09-08;127148;101948;203;0;40
62;4;2022-09-08;23479;80;9;1;23
62;5;2022-09-08;9691;6638;87;38;154
62;6;2022-09-08;171;134;5;9;12
63;1;2022-09-08;396184;396977;288317;55203;307789
63;2;2022-09-08;65886;72762;95749;3827;105438
63;3;2022-09-08;51754;40771;39;0;2
63;4;2022-09-08;11061;40;4;0;6
63;5;2022-09-08;3086;2062;19;9;34
63;6;2022-09-08;92;71;9;43;4
64;1;2022-09-08;456917;454770;314785;66139;330743
64;2;2022-09-08;48959;54050;97661;2636;104872
64;3;2022-09-08;45510;36794;27;0;8
64;4;2022-09-08;9809;48;2;1;15
64;5;2022-09-08;1964;1170;17;4;26
64;6;2022-09-08;137;96;8;2;14
65;1;2022-09-08;151325;150368;99586;20781;105407
65;2;2022-09-08;16772;19163;35594;602;38679
65;3;2022-09-08;12105;8949;19;0;8
65;4;2022-09-08;3660;12;1;0;5
65;5;2022-09-08;630;414;11;0;13
65;6;2022-09-08;79;38;3;7;7
66;1;2022-09-08;285983;284018;207528;46426;218875
66;2;2022-09-08;47203;50693;61914;2241;67588
66;3;2022-09-08;32434;27162;33;0;15
66;4;2022-09-08;10976;82;18;0;38
66;5;2022-09-08;985;643;17;2;20
66;6;2022-09-08;127;89;4;9;15
67;1;2022-09-08;670376;665983;456006;81278;494686
67;2;2022-09-08;122518;134986;185644;9197;202078
67;3;2022-09-08;88540;67904;71;0;31
67;4;2022-09-08;18579;83;16;1;42
67;5;2022-09-08;4752;3304;34;12;58
67;6;2022-09-08;210;168;24;13;31
68;1;2022-09-08;431584;424796;271149;44882;293828
68;2;2022-09-08;78475;86835;123787;5477;137035
68;3;2022-09-08;43328;32451;38;0;28
68;4;2022-09-08;11020;53;11;0;33
68;5;2022-09-08;2770;1965;17;3;37
68;6;2022-09-08;195;130;9;14;17
69;1;2022-09-08;1159538;1125088;702052;133721;789733
69;2;2022-09-08;156529;177581;257134;6725;296298
69;3;2022-09-08;114573;84313;122;0;70
69;4;2022-09-08;23895;168;42;0;98
69;5;2022-09-08;7599;4951;58;14;120
69;6;2022-09-08;249;185;18;11;35
70;1;2022-09-08;142532;141241;100408;17641;108043
70;2;2022-09-08;21938;24341;32917;830;36262
70;3;2022-09-08;15580;12578;13;0;3
70;4;2022-09-08;3261;7;1;0;5
70;5;2022-09-08;969;635;7;2;9
70;6;2022-09-08;35;26;4;1;3
71;1;2022-09-08;349038;348716;246008;55726;264458
71;2;2022-09-08;45803;52948;80315;1974;89122
71;3;2022-09-08;39283;30846;42;0;3
71;4;2022-09-08;10207;31;9;0;15
71;5;2022-09-08;1803;1156;16;1;19
71;6;2022-09-08;126;87;12;8;16
72;1;2022-09-08;370681;365495;227496;53532;240264
72;2;2022-09-08;44679;54264;114650;2714;124761
72;3;2022-09-08;37341;30305;89;0;35
72;4;2022-09-08;8839;42;1;1;16
72;5;2022-09-08;3070;2026;51;14;59
72;6;2022-09-08;84;59;2;2;3
73;1;2022-09-08;290778;280180;149719;30634;165151
73;2;2022-09-08;20140;28793;80411;2488;90770
73;3;2022-09-08;29217;21885;19;0;8
73;4;2022-09-08;4671;18;3;0;9
73;5;2022-09-08;1438;867;13;0;18
73;6;2022-09-08;79;59;7;8;7
74;1;2022-09-08;498268;473547;252216;45322;282558
74;2;2022-09-08;60911;73236;129510;2562;148614
74;3;2022-09-08;39453;28565;23;0;13
74;4;2022-09-08;6514;57;7;0;22
74;5;2022-09-08;1768;1124;29;9;51
74;6;2022-09-08;119;76;15;6;14
75;1;2022-09-08;1466962;1432383;899301;176004;1003283
75;2;2022-09-08;146558;177697;343314;10040;390101
75;3;2022-09-08;150930;101334;118;0;140
75;4;2022-09-08;25262;263;56;1;165
75;5;2022-09-08;10316;6171;113;50;201
75;6;2022-09-08;470;360;38;51;77
76;1;2022-09-08;752184;749535;500627;117824;533007
76;2;2022-09-08;136168;154355;246556;6442;270281
76;3;2022-09-08;101112;80610;48;0;11
76;4;2022-09-08;22612;117;59;0;74
